"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"NOTE: Historical prices are adjusted for splits AND dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1980-12-12,0.4244,0.4262,0.4244,0.4244,117258400
1980-12-15,0.4042,0.4042,0.4023,0.4023,43971200
1980-12-16,0.3745,0.3745,0.3728,0.3728,26432000
1980-12-17,0.3819,0.3838,0.3819,0.3819,21610400
1980-12-18,0.3931,0.3949,0.3931,0.3931,18362400
1980-12-19,0.4170,0.4190,0.4170,0.4170,12157600
1980-12-22,0.4374,0.4392,0.4374,0.4374,9340800
1980-12-23,0.4559,0.4576,0.4559,0.4559,11737600
1980-12-24,0.4798,0.4817,0.4798,0.4798,12000800
1980-12-26,0.5241,0.5258,0.5241,0.5241,13893600
1980-12-29,0.5314,0.5334,0.5314,0.5314,23290400
1980-12-30,0.5204,0.5204,0.5185,0.5185,17220000
1980-12-31,0.5056,0.5056,0.5038,0.5038,8937600
1981-01-02,0.5093,0.5130,0.5093,0.5093,5415200
1981-01-05,0.5000,0.5000,0.4982,0.4982,8932000
1981-01-06,0.4779,0.4779,0.4761,0.4761,11289600
1981-01-07,0.4576,0.4576,0.4559,0.4559,13921600
1981-01-08,0.4483,0.4483,0.4466,0.4466,9956800
1981-01-09,0.4706,0.4724,0.4706,0.4706,5376000
1981-01-12,0.4706,0.4706,0.4668,0.4668,5924800
1981-01-13,0.4522,0.4522,0.4503,0.4503,5762400
1981-01-14,0.4522,0.4539,0.4522,0.4522,3572800
1981-01-15,0.4613,0.4650,0.4613,0.4613,3516800
1981-01-16,0.4594,0.4594,0.4576,0.4576,3348800
1981-01-19,0.4852,0.4872,0.4852,0.4852,10393600
1981-01-20,0.4724,0.4724,0.4706,0.4706,7520800
1981-01-21,0.4798,0.4835,0.4798,0.4798,3976000
1981-01-22,0.4852,0.4891,0.4852,0.4852,8887200
1981-01-23,0.4852,0.4872,0.4835,0.4835,2805600
1981-01-26,0.4779,0.4779,0.4761,0.4761,6160000
1981-01-27,0.4761,0.4761,0.4724,0.4724,5924800
1981-01-28,0.4594,0.4594,0.4576,0.4576,7039200
1981-01-29,0.4429,0.4429,0.4410,0.4410,10976000
1981-01-30,0.4207,0.4207,0.4170,0.4170,11547200
1981-02-02,0.3949,0.3949,0.3931,0.3931,5941600
1981-02-03,0.4077,0.4097,0.4077,0.4077,4788000
1981-02-04,0.4225,0.4244,0.4225,0.4225,6966400
1981-02-05,0.4225,0.4262,0.4225,0.4225,1982400
1981-02-06,0.4244,0.4262,0.4244,0.4244,3466400
1981-02-09,0.4060,0.4060,0.4023,0.4023,4188800
1981-02-10,0.4023,0.4042,0.4023,0.4023,4586400
1981-02-11,0.3912,0.3912,0.3893,0.3893,3460800
1981-02-12,0.3875,0.3875,0.3857,0.3857,3640000
1981-02-13,0.3801,0.3801,0.3764,0.3764,2788800
1981-02-17,0.3857,0.3875,0.3857,0.3857,3068800
1981-02-18,0.4023,0.4060,0.4023,0.4023,4810400
1981-02-19,0.3801,0.3801,0.3784,0.3784,5577600
1981-02-20,0.3599,0.3599,0.3580,0.3580,6092800
