"MacroTrends Data Download"
"CPB - Historical Price and Volume Data"
"NOTE: Historical prices are adjusted for splits AND dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1985-07-01,2.0054,2.0385,2.0054,2.0385,833600
1985-07-02,2.0578,2.0578,2.0444,2.0476,232000
1985-07-03,2.0417,2.0486,2.0353,2.0385,265600
1985-07-05,2.0410,2.0543,2.0378,2.0476,273600
1985-07-08,2.0553,2.0751,2.0553,2.0751,825600
1985-07-09,2.0765,2.1299,2.0765,2.1299,577600
1985-07-10,2.1264,2.1464,2.1198,2.1299,683200
1985-07-11,2.1299,2.1331,2.1264,2.1299,478400
1985-07-12,2.1274,2.1274,2.1208,2.1208,227200
1985-07-15,2.1218,2.1351,2.1116,2.1116,236800
1985-07-16,2.1106,2.1208,2.1106,2.1208,507200
1985-07-17,2.1225,2.1391,2.1193,2.1391,555200
1985-07-18,2.1341,2.1341,2.1208,2.1208,137600
1985-07-19,2.1190,2.1257,2.0857,2.1025,371200
1985-07-22,2.0944,2.0944,2.0740,2.0842,411200
1985-07-23,2.0771,2.0771,1.9970,2.0202,422400
1985-07-24,2.0185,2.0353,2.0019,2.0019,534400
1985-07-25,2.0002,2.0135,1.9767,1.9836,417600
1985-07-26,1.9864,2.0061,1.9829,1.9928,348800
1985-07-29,1.9943,1.9943,1.9577,1.9745,697600
1985-07-30,1.9575,1.9575,1.9105,1.9105,865600
1985-07-31,1.9139,1.9868,1.9139,1.9836,910400
1985-08-01,1.9745,1.9745,1.9345,1.9745,242000
1985-08-02,1.9789,2.0194,1.9789,1.9928,316800
1985-08-05,1.9982,2.0180,1.9715,2.0111,345600
1985-08-06,2.0068,2.0271,1.9471,1.9471,540000
1985-08-07,1.9512,2.0111,1.9448,2.0111,575200
1985-08-08,2.0098,2.0568,1.9969,2.0568,474400
1985-08-09,2.0540,2.0743,2.0274,2.0476,486400
1985-08-12,2.0476,2.0540,2.0007,2.0476,485600
1985-08-13,2.0496,2.0496,2.0294,2.0294,345600
1985-08-14,2.0314,2.0314,2.0047,2.0111,308800
1985-08-15,2.0063,2.0202,2.0063,2.0202,183200
1985-08-16,2.0172,2.0172,1.9836,1.9836,168800
1985-08-19,1.9913,2.0111,1.9913,2.0111,200000
1985-08-20,2.0083,2.0153,2.0019,2.0019,493600
1985-08-21,2.0047,2.1249,1.9982,2.0111,460000
1985-08-22,2.0083,2.0153,1.9955,2.0019,243200
1985-08-23,1.9992,2.0056,1.9928,1.9928,69600
1985-08-26,1.9928,1.9992,1.9928,1.9928,134400
1985-08-27,1.9955,2.0019,1.9955,2.0019,121600
1985-08-28,2.0019,2.0019,1.9816,2.0019,301600
1985-08-29,2.0047,2.0180,1.9982,2.0111,168000
1985-08-30,2.0056,2.0125,1.9859,1.9928,326400
1985-09-03,1.9906,1.9906,1.9767,1.9836,128000
1985-09-04,1.9906,2.0040,1.9772,1.9836,328000
1985-09-05,1.9767,1.9906,1.9767,1.9836,141600
1985-09-06,1.9836,2.0034,1.9767,1.9836,100000
1985-09-09,1.9943,2.0476,1.9943,2.0476,185600
1985-09-10,2.0454,2.0785,2.0385,2.0385,178400
1985-09-11,2.0454,2.0722,2.0385,2.0385,178400
1985-09-12,2.0358,2.0561,2.0160,2.0294,451200
1985-09-13,2.0258,2.0322,1.9325,1.9928,308000
1985-09-16,1.9955,2.0019,1.9688,2.0019,158400
1985-09-17,1.9999,2.0469,1.9797,2.0202,384000
1985-09-18,2.0172,2.0172,1.9703,1.9836,396800
1985-09-19,1.9859,2.0056,1.9789,1.9928,56800
1985-09-20,1.9912,2.0178,1.9379,1.9379,327200
1985-09-23,1.9399,1.9863,1.9197,1.9197,392800
1985-09-24,1.9352,2.0019,1.9352,2.0019,488000
1985-09-25,2.0053,2.0524,1.9850,2.0385,439200
1985-09-26,2.0316,2.0454,2.0252,2.0385,371200
1985-09-30,2.0484,2.1017,2.0484,2.0751,495200
1985-10-01,2.1266,2.2529,2.0594,2.2396,748000
1985-10-02,2.2595,2.2730,2.1654,2.2122,996800
1985-10-03,2.2106,2.2579,2.2041,2.2579,724800
1985-10-04,2.2299,2.2299,2.2030,2.2030,264000
1985-10-07,2.2047,2.2047,2.1175,2.1573,420800
1985-10-08,2.1627,2.2299,2.1627,2.2030,417600
1985-10-09,2.2268,2.3207,2.2268,2.2670,1524000
1985-10-10,2.2670,2.3008,2.2332,2.2670,984000
1985-10-11,2.2670,2.2670,2.2471,2.2670,309600
1985-10-14,2.2601,2.2740,2.2536,2.2670,232800
1985-10-15,2.2744,2.4224,2.2545,2.4224,1702400
1985-10-16,2.4197,2.4939,2.3525,2.4133,1347200
1985-10-17,2.4155,2.4155,2.3746,2.3950,1089600
1985-10-18,2.3944,2.5020,2.3810,2.4956,1172000
1985-10-21,2.4907,2.4907,2.4166,2.4499,422400
1985-10-22,2.4558,2.4628,2.4020,2.4224,591200
1985-10-23,2.4102,2.4102,2.3493,2.3493,504000
1985-10-24,2.3466,2.3606,2.2998,2.3402,255200
1985-10-25,2.3402,2.3606,2.3267,2.3402,275200
1985-10-28,2.3207,2.3207,2.2670,2.2670,409600
1985-10-29,2.2757,2.3096,2.2417,2.2487,548800
1985-10-30,2.2406,2.2808,2.1799,2.1939,710400
1985-10-31,2.1966,2.2095,2.1627,2.2030,592000
1985-11-01,2.2137,2.2945,2.2137,2.2945,596800
1985-11-04,2.2918,2.2988,2.2584,2.2853,227200
1985-11-05,2.2853,2.2988,2.2719,2.2853,360000
1985-11-06,2.2820,2.2885,2.2149,2.2487,305600
1985-11-07,2.2541,2.2810,2.2337,2.2670,589600
1985-11-08,2.2843,2.3853,2.2843,2.3584,872000
1985-11-11,2.3698,2.4977,2.3698,2.4773,1057600
1985-11-12,2.4832,2.4832,2.4364,2.4499,1874400
1985-11-13,2.4450,2.4584,2.4047,2.4316,815200
1985-11-14,2.4300,2.4499,2.4230,2.4499,890400
1985-11-15,2.4466,2.4466,2.4063,2.4133,457600
1985-11-18,2.4117,2.4386,2.3913,2.4316,402400
1985-11-19,2.4337,2.4407,2.4203,2.4407,235200
